text,intent
what's the weather like today,Default Fallback Intent
will it rain tomorrow,Default Fallback Intent
how hot is it outside,Default Fallback Intent
is it going to snow this weekend,Default Fallback Intent
what's the forecast for monday,Default Fallback Intent
who is the president,Default Fallback Intent
what year did the war end,Default Fallback Intent
how tall is mount everest,Default Fallback Intent
what is the capital of france,Default Fallback Intent
who wrote hamlet,Default Fallback Intent
how many planets are there,Default Fallback Intent
what is the speed of light,Default Fallback Intent
explain quantum physics to me,Default Fallback Intent
what is the meaning of life,Default Fallback Intent
tell me a joke,Default Fallback Intent
tell me a story,Default Fallback Intent
say something funny,Default Fallback Intent
what's your favorite color,Default Fallback Intent
do you like pizza,Default Fallback Intent
how old are you,Default Fallback Intent
are you a robot,Default Fallback Intent
what should i wear today,Default Fallback Intent
recommend me a movie,Default Fallback Intent
what's a good book to read,Default Fallback Intent
suggest a recipe for chicken,Default Fallback Intent
how do i bake bread,Default Fallback Intent
what's a good restaurant nearby,Default Fallback Intent
order me a pizza,Default Fallback Intent
book a table for two,Default Fallback Intent
what's on the menu,Default Fallback Intent
how much does a coffee cost,Default Fallback Intent
what's the stock price of apple,Default Fallback Intent
convert dollars to euros,Default Fallback Intent
what is twelve times seven,Default Fallback Intent
calculate the square root of ninety,Default Fallback Intent
what's two plus two,Default Fallback Intent
solve this math problem for me,Default Fallback Intent
how many ounces in a pound,Default Fallback Intent
what time does the sun set,Default Fallback Intent
what day is it next friday,Default Fallback Intent
how many days until christmas,Default Fallback Intent
what's the date today,Default Fallback Intent
who won the game last night,Default Fallback Intent
what's the score of the match,Default Fallback Intent
when is the super bowl,Default Fallback Intent
how do i get to the airport,Default Fallback Intent
give me directions to downtown,Default Fallback Intent
how far is it to chicago,Default Fallback Intent
what's the traffic like,Default Fallback Intent
find me a gas station,Default Fallback Intent
where is the nearest hospital,Default Fallback Intent
book me a flight to paris,Default Fallback Intent
reserve a hotel room,Default Fallback Intent
what's the wifi password,Default Fallback Intent
turn on the living room lights,Default Fallback Intent
set the thermostat to seventy,Default Fallback Intent
lock the front door,Default Fallback Intent
start the coffee maker,Default Fallback Intent
open the garage door,Default Fallback Intent
what's on my calendar,Default Fallback Intent
schedule a meeting with john,Default Fallback Intent
add milk to my shopping list,Default Fallback Intent
take a photo,Default Fallback Intent
set the oven to broil,Default Fallback Intent
play some jazz music,Default Fallback Intent
skip to the next song,Default Fallback Intent
pause the movie,Default Fallback Intent
what song is this,Default Fallback Intent
turn on the television,Default Fallback Intent
what channel is the news on,Default Fallback Intent
read me the headlines,Default Fallback Intent
what's happening in the world,Default Fallback Intent
search the web for cats,Default Fallback Intent
google the nearest pharmacy,Default Fallback Intent
translate this into spanish for fun,Default Fallback Intent
how do you say hello in french,Default Fallback Intent
spell the word necessary,Default Fallback Intent
what does serendipity mean,Default Fallback Intent
define photosynthesis,Default Fallback Intent
help me write a poem,Default Fallback Intent
compose an email to my boss,Default Fallback Intent
what's my horoscope,Default Fallback Intent
flip a coin,Default Fallback Intent
roll a dice,Default Fallback Intent
pick a random number,Default Fallback Intent
start a timer for ten minutes,Default Fallback Intent
set an alarm for six am,Default Fallback Intent
what's the population of india,Default Fallback Intent
how do airplanes fly,Default Fallback Intent
why is the sky blue,Default Fallback Intent
what causes thunder,Default Fallback Intent
how does a car engine work,Default Fallback Intent
tell me a fun fact,Default Fallback Intent
who invented the telephone,Default Fallback Intent
what's the largest ocean,Default Fallback Intent
name a famous painter,Default Fallback Intent
recommend a workout routine,Default Fallback Intent
how many calories in an apple,Default Fallback Intent
what's a good diet plan,Default Fallback Intent
how do i lose weight,Default Fallback Intent
what's my blood type,Default Fallback Intent
diagnose my headache,Default Fallback Intent
what medicine should i take,Default Fallback Intent
when is my doctor appointment,Default Fallback Intent
call my dentist,Default Fallback Intent
dial nine one one,Default Fallback Intent
text my landlord,Default Fallback Intent
what's the news on the election,Default Fallback Intent
who is winning the race,Default Fallback Intent
sing happy birthday,Default Fallback Intent
beatbox for me,Default Fallback Intent
do an impression,Default Fallback Intent
what's the airspeed of a swallow,Default Fallback Intent
how long do cats live,Default Fallback Intent
what breed is a labrador,Default Fallback Intent
how do i train my dog,Default Fallback Intent
what plants are safe for pets,Default Fallback Intent
when should i water my garden,Default Fallback Intent
how do i remove a stain,Default Fallback Intent
what removes red wine,Default Fallback Intent
how do i tie a tie,Default Fallback Intent
what's the best way to study,Default Fallback Intent
help me plan a vacation,Default Fallback Intent
where should i travel next,Default Fallback Intent
what's the time difference to london,Default Fallback Intent
how do i invest my money,Default Fallback Intent
what's a good savings strategy,Default Fallback Intent
explain compound interest,Default Fallback Intent
what's the exchange rate,Default Fallback Intent
how do i file my taxes,Default Fallback Intent
what's a mortgage,Default Fallback Intent
who do i vote for,Default Fallback Intent
what's the latest gossip,Default Fallback Intent
gossip with me,Default Fallback Intent
let's chat about nothing,Default Fallback Intent
i'm bored entertain me,Default Fallback Intent
what can you do for fun,Default Fallback Intent
make me laugh,Default Fallback Intent
what rhymes with orange,Default Fallback Intent
count to a hundred,Default Fallback Intent
recite the alphabet,Default Fallback Intent
what's the longest word,Default Fallback Intent
give me a riddle,Default Fallback Intent
play twenty questions,Default Fallback Intent
let's play a game,Default Fallback Intent
what's your name,Default Fallback Intent
where do you live,Default Fallback Intent
are you human,Default Fallback Intent
