text,intent,source,rejected_intent,family,held_out,symptom,axis,role
"i wanted it started, not stopped",Cmd.StreamingStart,F1_negation_corrective,,,,,,
do not unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it muted, make it unmuted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
stop trying to play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
no need to mute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to mute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"started please, not stopped",Cmd.StreamingStart,F1_negation_corrective,,,,,,
"don't make it up, make it down",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
there is no need to make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to start streaming,Default Fallback Intent,F1_negation_bare,,,,,,
"please do not make it quieter, make it louder",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
"stopped please, not started",Cmd.StreamingStop,F1_negation_corrective,,,,,,
no need to raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it down, not up",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
i did not ask you to turn it down,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to start streaming,Default Fallback Intent,F1_negation_bare,,,,,,
don't find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to set a reminder,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it louder, not quieter",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
there is no need to change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to mute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to turn it down,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to turn it up,Default Fallback Intent,F1_negation_bare,,,,,,
do not make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to start translating,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to send a message,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it down, make it up",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
"not muted, unmuted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
i do not want you to make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
"don't make it muted, make it unmuted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
no need to make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
"down please, not up",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
"don't make it unmuted, make it muted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
i did not ask you to raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to start translating,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to switch my program,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to make it louder,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
"do not make it down, make it up",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
"i do not want you to make it muted, make it unmuted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
i did not ask you to lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to send a message,Default Fallback Intent,F1_negation_bare,,,,,,
"please do not make it muted, make it unmuted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
i do not want you to start translating,Default Fallback Intent,F1_negation_bare,,,,,,
"i said muted, not unmuted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
i do not want you to find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it up, not down",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
there is no need to make it louder,Default Fallback Intent,F1_negation_bare,,,,,,
do not start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to turn it up,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"i do not want you to make it louder, make it quieter",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
i never asked you to play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it muted, not unmuted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
no need to start streaming,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to mute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"i said started, not stopped",Cmd.StreamingStart,F1_negation_corrective,,,,,,
stop trying to make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
no need to stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
"please do not make it started, make it stopped",Cmd.StreamingStop,F1_negation_corrective,,,,,,
there is no need to stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
please do not raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
"i do not want you to make it quieter, make it louder",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
i did not ask you to find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
please do not make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to start translating,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to make it louder,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
"not unmuted, muted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
"don't make it louder, make it quieter",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
do not raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to switch my program,Default Fallback Intent,F1_negation_bare,,,,,,
do not stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
"not stopped, started",Cmd.StreamingStart,F1_negation_corrective,,,,,,
please do not stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it quieter, not louder",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
stop trying to raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
"i said louder, not quieter",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
i never asked you to unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
don't change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
no need to start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to make it louder,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to send a message,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to switch my program,Default Fallback Intent,F1_negation_bare,,,,,,
"i do not want you to make it unmuted, make it muted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
"i said quieter, not louder",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
don't lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
no need to start translating,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to turn it down,Default Fallback Intent,F1_negation_bare,,,,,,
do not start translating,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to turn it up,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
no need to set a reminder,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it louder, make it quieter",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
"i do not want you to make it up, make it down",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
i did not ask you to change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
please do not find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to set a reminder,Default Fallback Intent,F1_negation_bare,,,,,,
i did not ask you to make it quieter,Default Fallback Intent,F1_negation_bare,,,,,,
"please do not make it unmuted, make it muted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
no need to play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
"do not make it stopped, make it started",Cmd.StreamingStart,F1_negation_corrective,,,,,,
"not up, down",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
"don't make it started, make it stopped",Cmd.StreamingStop,F1_negation_corrective,,,,,,
"no, louder not quieter",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
no need to turn it up,Default Fallback Intent,F1_negation_bare,,,,,,
don't play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
"no, stopped not started",Cmd.StreamingStop,F1_negation_corrective,,,,,,
stop trying to send a message,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
